features,feature_importances,iteration
25%_cat_size,0.6568978120984496,0
Category_DATING,0.6585547421459368,1
Cluster_2,0.660156712532053,2
Cluster_10,0.6618077691807771,3
Cluster_12,0.660137889590579,4
Android Ver_1-2-3 and up,0.6626766589049797,5
Category_EVENTS,0.6626017511739831,6
Category_HEALTH_AND_FITNESS,0.6635421533094686,7
Cluster_21,0.6626949563634776,8
Cluster_3,0.6630239319436328,9
Category_ENTERTAINMENT,0.6639118064848317,10
Category_FINANCE,0.6640473787645994,11
Category_ART_AND_DESIGN,0.665188737237192,12
Category_TOOLS,0.6645771733560867,13
Cluster_24,0.6634488072276596,14
Category_HOUSE_AND_HOME,0.6654020845164251,15
count_cat_price,0.6660711077018998,16
Android Ver_5 and up,0.6640869001175835,17
Category_COMICS,0.6642794833921946,18
Category_WEATHER,0.6642966412713828,19
Category_SPORTS,0.6636359602070525,20
min_cat_price,0.6657688038220143,21
Category_NEWS_AND_MAGAZINES,0.6648993303439344,22
price_for_mb,0.6651507026437395,23
Cluster_5,0.6645370508134469,24
Category_COMMUNICATION,0.6637724202644119,25
max_rating_size,0.6645513032028607,26
Cluster_14,0.6652002769765977,27
Cluster_17,0.6655069180652469,28
std_type_size,0.664966541665628,29
Category_VIDEO_PLAYERS,0.6658096212949038,30
Category_PARENTING,0.6650987380219714,31
Cluster_20,0.6660363423480333,32
Cluster_8,0.6648529620555764,33
min_rating_price,0.6642396403937392,34
Cluster_16,0.6639986992289261,35
Category_FOOD_AND_DRINK,0.6633729406762229,36
Cluster_9,0.6642691906258976,37
Category_TRAVEL_AND_LOCAL,0.6638588307374342,38
25%_rating_price,0.6650366362635477,39
max_cat_price,0.6650286929752217,40
25%_type_size,0.6646184297152818,41
Category_EDUCATION,0.6657346597840879,42
Cluster_4,0.6652369254085844,43
max_rating_price,0.6636149925950631,44
25%_rating_size,0.6655606831333554,45
Cluster_6,0.6647240133820923,46
len_of_app_title,0.6661030347107256,47
Category_GAME,0.6670620657798991,48
mean_rating_size,0.6671662254427843,49
Content Rating,0.6658141273500159,50
count_type_price,0.6668001699404806,51
Cluster_0,0.6654783372232109,52
Cluster_19,0.665043434325218,53
count_rating_size,0.666215046353784,54
Cluster_18,0.6660687268609558,55
Android Ver_4 and up,0.6660679148552628,56
Category_AUTO_AND_VEHICLES,0.6648901903576355,57
min_cat_size,0.6633975613320917,58
Cluster_1,0.665462233856502,59
Cluster_22,0.666143434990332,60
25%_cat_price,0.6695816734188291,61
Genres,0.6675733192299622,62
Category_BUSINESS,0.6663994675577571,63
Cluster_7,0.6682002972796977,64
count_rating_price,0.6706979401541192,65
Category_LIBRARIES_AND_DEMO,0.6678843125077888,66
50%_rating_price,0.6674144192742574,67
Category_LIFESTYLE,0.6689010289272337,68
std_cat_size,0.6685524867584771,69
std_rating_size,0.6691818564693691,70
Cluster_13,0.669722487876318,71
mean_type_price,0.6693406063551387,72
Category_PRODUCTIVITY,0.6681266284748542,73
count_type_size,0.6690876648969287,74
Category_MAPS_AND_NAVIGATION,0.6668683513345168,75
Type_Free,0.6691036211490052,76
std_type_price,0.6690224131164041,77
mean_type_size,0.6676782254788854,78
Category_BOOKS_AND_REFERENCE,0.6673128677269664,79
Cluster_23,0.6679641363208682,80
Category_FAMILY,0.6694139438885706,81
50%_type_size,0.6676544091892569,82
Category_SHOPPING,0.6696040322419373,83
Cluster_11,0.6698759360131652,84
min_type_price,0.6663312519065743,85
Category_BEAUTY,0.6689000834477203,86
mean_cat_size,0.6669596209868937,87
25%_type_price,0.6669402227008868,88
max_cat_size,0.6648926620609462,89
Category_PERSONALIZATION,0.667105157497232,90
75%_type_size,0.6655496952807484,91
50%_cat_price,0.6656541080902737,92
Type_Paid,0.6658201881816047,93
50%_type_price,0.6680324164587694,94
75%_cat_price,0.6654070722199283,95
75%_rating_size,0.6664265166859983,96
min_type_size,0.6653010384314203,97
75%_rating_price,0.6656156890998945,98
max_type_size,0.6660864767943079,99
min_rating_size,0.6641411179453499,100
75%_type_price,0.6618450783006056,101
mean_rating_price,0.6637849607940203,102
std_rating_price,0.6659935861349685,103
max_type_price,0.6637842791063338,104
count_of_app_title,0.6627802650101537,105
Category_SOCIAL,0.664157467280228,106
50%_rating_size,0.6631956467152496,107
Category_PHOTOGRAPHY,0.6637407206772707,108
count_cat_size,0.6618300542525999,109
50%_cat_size,0.6617702283089604,110
Category_MEDICAL,0.6590950622189953,111
Cluster_15,0.6601748455146872,112
diff_count_title,0.6604876384616654,113
std_cat_price,0.6544451992827107,114
diff_len_title,0.6519134914550508,115
Android Ver_Varies with device,0.6468440410598802,116
75%_cat_size,0.6406265089660268,117
count_of_cleantext_title,0.6385107386067004,118
len_of_cleantext_title,0.6484004595614418,119
mean_cat_price,0.6410805756173114,120
Price,0.6253984581080657,121
