features,feature_importances,iteration
Category_PRODUCTIVITY,0.5749323763855291,0
Category_SPORTS,0.5757494561462124,1
Cluster_25,0.5757745061033743,2
Cluster_17,0.5765099513019839,3
Price,0.5765099513019839,4
log_price,0.5765099513019839,5
Size,0.5765124080565962,6
log_size^2,0.5765124080565962,7
df_cat.LAST(df.log_price),0.5765124080565962,8
df_cat.MEDIAN(df.log_price),0.5765124080565962,9
df_type.MEAN(df.log_price),0.5765124080565962,10
df_type.MEAN(df.log_size),0.5765124080565962,11
df_type.MAX(df.log_price),0.5765124080565962,12
df_type.MAX(df.log_size),0.5765124080565962,13
df_type.LAST(df.log_price),0.5765124080565962,14
df_type.LAST(df.log_size),0.5765124080565962,15
df_type.STD(df.log_price),0.5765124080565962,16
df_type.STD(df.log_size),0.5765124080565962,17
df_type.MEDIAN(df.log_price),0.5765124080565962,18
df_type.MEDIAN(df.log_size),0.5765124080565962,19
df_con_rat.MEAN(df.log_price),0.5765124080565962,20
df_con_rat.MEAN(df.log_size),0.5765124080565962,21
df_con_rat.MAX(df.log_price),0.5765124080565962,22
df_con_rat.MAX(df.log_size),0.5765124080565962,23
df_con_rat.LAST(df.log_price),0.5765124080565962,24
df_con_rat.LAST(df.log_size),0.5765124080565962,25
df_con_rat.STD(df.log_price),0.5765124080565962,26
df_con_rat.MEDIAN(df.log_price),0.5765124080565962,27
Category_ART_AND_DESIGN,0.5765124080565962,28
Category_BEAUTY,0.5765124080565962,29
Category_BOOKS_AND_REFERENCE,0.5765124080565962,30
Category_COMICS,0.5765124080565962,31
Category_FAMILY,0.5765124080565962,32
Category_GAME,0.5765124080565962,33
Category_LIBRARIES_AND_DEMO,0.5765124080565962,34
Category_MAPS_AND_NAVIGATION,0.5765124080565962,35
Category_MEDICAL,0.5765124080565962,36
Category_VIDEO_PLAYERS,0.5765124080565962,37
Type_Free,0.5765124080565962,38
Type_Paid,0.5765124080565962,39
df_cat.LAST(df.Type)_Free,0.5765124080565962,40
df_type.LAST(df.Category)_AUTO_AND_VEHICLES,0.5765124080565962,41
df_type.LAST(df.Category)_ENTERTAINMENT,0.5765124080565962,42
df_type.LAST(df.Content Rating)_Everyone,0.5765124080565962,43
df_con_rat.LAST(df.Category)_ENTERTAINMENT,0.5765124080565962,44
