features,feature_importances,iteration
log_size,0.5449259772214973,0
Cluster_27,0.5460620508283615,1
Category_GAME,0.5468526311405062,2
diff_len_title,0.5471728416207049,3
Cluster_2,0.5478919569067687,4
Category_MAPS_AND_NAVIGATION,0.5482011743374904,5
Category_COMMUNICATION,0.5485251900672837,6
Cluster_8,0.5486620574376946,7
Category_EDUCATION,0.5487988542889458,8
count_of_cleantext_title,0.5486620574376946,9
Category_ART_AND_DESIGN,0.5487988542889458,10
Category_AUTO_AND_VEHICLES,0.5486620574376946,11
Category_COMICS,0.5487988542889458,12
Category_EVENTS,0.5487988542889458,13
Category_BEAUTY,0.5487988542889458,14
Cluster_11,0.548790090104524,15
Category_PERSONALIZATION,0.5487994720919114,16
Category_WEATHER,0.5489009733656961,17
Category_LIFESTYLE,0.549316203448269,18
Category_TOOLS,0.5494519356767675,19
Category_BUSINESS,0.5497711893922049,20
Cluster_25,0.5497711893922049,21
Category_FINANCE,0.5497711893922049,22
Category_VIDEO_PLAYERS,0.5498165740111437,23
Type_Free,0.5499534280024322,24
Category_LIBRARIES_AND_DEMO,0.5498165740111437,25
Category_HOUSE_AND_HOME,0.5499534280024322,26
Cluster_15,0.5507624602883565,27
Category_NEWS_AND_MAGAZINES,0.5512923903978628,28
Android Ver_4 and up,0.5514206788427279,29
Cluster_29,0.5512791644603229,30
Category_BOOKS_AND_REFERENCE,0.5517617494126009,31
Category_SOCIAL,0.5514713196876805,32
Cluster_1,0.551784587743974,33
Cluster_24,0.5519553425270156,34
Category_HEALTH_AND_FITNESS,0.5519146841393474,35
Category_DATING,0.552049400242895,36
Category_SPORTS,0.5514508216858058,37
Cluster_22,0.550748904735649,38
Cluster_19,0.5512683865602859,39
Cluster_4,0.5512319358251639,40
Cluster_7,0.550358033175853,41
price_for_mb,0.5504824198075888,42
diff_count_title,0.5512040384451279,43
Cluster_17,0.5525399099667144,44
Cluster_28,0.5521879161377264,45
Cluster_9,0.5517017990912256,46
Cluster_23,0.5522283384881728,47
Price,0.5514998866202944,48
Category_FAMILY,0.5514114878793357,49
Cluster_20,0.5512983825019586,50
len_of_app_title,0.5509153634355425,51
Cluster_26,0.550227262810285,52
Size,0.5490146056478371,53
Category_PARENTING,0.5495932865296428,54
Category_TRAVEL_AND_LOCAL,0.5492503485412452,55
log_price,0.5481961748989763,56
Android Ver_Varies with device,0.547748192071054,57
Android Ver_5 and up,0.5457727309934436,58
count_of_app_title,0.5448697020114343,59
Cluster_0,0.5443362294025789,60
Content Rating,0.5449831609228737,61
log_price^2,0.5440759382278276,62
Category_FOOD_AND_DRINK,0.5439706213516675,63
Cluster_3,0.5426688756808278,64
log_price log_size,0.5414626409736782,65
is_cat_equal_genre,0.5392253342757442,66
Cluster_21,0.5379586044012074,67
Cluster_16,0.536931636246795,68
Category_PRODUCTIVITY,0.5331681212835111,69
Cluster_6,0.5340921578586885,70
Category_SHOPPING,0.530506428870126,71
Cluster_5,0.5297725373103946,72
Cluster_12,0.5295313949083518,73
Category_ENTERTAINMENT,0.5260234549887957,74
Category_PHOTOGRAPHY,0.5214071622820576,75
Cluster_13,0.5173412422138105,76
Cluster_10,0.5153501806452047,77
Cluster_18,0.5136747870346127,78
Category_MEDICAL,0.5054062323933727,79
Android Ver_1 and up,0.49803119128465223,80
Cluster_14,0.4891807512522819,81
Type_Paid,0.46660260394839004,82
log_size^2,0.449338342477666,83
unknown_size,0.32370329390929636,84
len_of_cleantext_title,0.0,85
